u,v,key,geometry,SU_foot,SU_highway,SU_ALLEY,SU_lit,SU_maxspeed,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,MU_traffic_volume,MU_traffic_speed,MU_accident_risk,MU_safety_of_crossings,SU_FROM_IMAGES_sidewalk_ratio_binned,SU_FROM_IMAGES_greenery_ratio_binned,SU_FROM_IMAGES_obstruction_density_binned,MU_convenience_binned,MU_attractiveness_binned,MU_safety_of_sidewalks_binned,cluster
88776956,9837306160,0,"LINESTRING (121.05006408691406 14.575984954833984, 121.05006408691406 14.5759859085083)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
88776956,11988919330,0,"LINESTRING (121.05006408691406 14.575984954833984, 121.0500717163086 14.575989723205566)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1,2,1,1,2,2,6
88776956,11988919331,0,"LINESTRING (121.05006408691406 14.575979232788086, 121.05006408691406 14.575984954833984)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,4,2,3,3,0
9837306160,5286755095,0,"LINESTRING (121.05006408691406 14.5759859085083, 121.04998779296875 14.576042175292969)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
9837306160,88776956,0,"LINESTRING (121.05006408691406 14.575984954833984, 121.05006408691406 14.5759859085083)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
11988919330,5286755100,0,"LINESTRING (121.0500717163086 14.575989723205566, 121.05011749267578 14.576050758361816)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1,2,1,1,2,2,6
11988919330,88776956,0,"LINESTRING (121.05006408691406 14.575984954833984, 121.0500717163086 14.575989723205566)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1,2,1,1,2,2,6
11988919331,88776956,0,"LINESTRING (121.05006408691406 14.575979232788086, 121.05006408691406 14.575984954833984)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,4,2,3,3,0
11988919331,5286755099,0,"LINESTRING (121.05001068115234 14.575913429260254, 121.05006408691406 14.575979232788086)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,4,2,3,3,0
5286755095,5286755096,0,"LINESTRING (121.04998779296875 14.576042175292969, 121.0497817993164 14.576190948486328)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
5286755095,9837306160,0,"LINESTRING (121.05006408691406 14.5759859085083, 121.04998779296875 14.576042175292969)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
25583811,6533422566,0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03305053710938 14.576715469360352)",-2.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,0,3,3,7
25583811,476288515,0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03316497802734 14.576760292053223)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,5,2
25583811,25584019,0,"LINESTRING (121.03302001953125 14.576940536499023, 121.03313446044922 14.576793670654297)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
6533422566,7198248641,0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03205871582031 14.575725555419922)",-2.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,2,0,2,2,9
6533422566,6533422564,0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03308868408203 14.576680183410645)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,0.0,-1.0,1,2,1,1,2,2,6
6533422566,25583811,0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03305053710938 14.576715469360352)",-2.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,0,3,3,7
476288515,6533422569,0,"LINESTRING (121.03316497802734 14.576760292053223, 121.033203125 14.576726913452148)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,5,2
476288515,6533422562,0,"LINESTRING (121.03316497802734 14.576760292053223, 121.03319549560547 14.576793670654297)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,2,2,4,2,3,3,0
476288515,25583811,0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03316497802734 14.576760292053223)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,3,5,2
476288515,6533422564,0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03316497802734 14.576760292053223)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,2,2,4,2,3,3,0
25584019,25583811,0,"LINESTRING (121.03302001953125 14.576940536499023, 121.03313446044922 14.576793670654297)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
25584019,10900905230,0,"LINESTRING (121.032958984375 14.577051162719727, 121.03302001953125 14.576940536499023)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
7198248641,6533422566,0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03205871582031 14.575725555419922)",-2.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,2,0,2,2,9
6533422564,476288515,0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03316497802734 14.576760292053223)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,2,2,4,2,3,3,0
6533422564,6533422565,0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03312683105469 14.576642990112305)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6533422564,6533422566,0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03308868408203 14.576680183410645)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,0.0,-1.0,1,2,1,1,2,2,6
25583898,6369607704,0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
25583898,7223603444,0,"LINESTRING (121.03380584716797 14.57642650604248, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
25583898,237022134,0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1,2,0,1,2,4,1
6369607704,25583995,0,"LINESTRING (121.03397369384766 14.576408386230469, 121.03412628173828 14.576417922973633)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
6369607704,25583898,0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.5,0.0,-1.0,1,2,0,1,2,4,1
7223603444,25583898,0,"LINESTRING (121.03380584716797 14.57642650604248, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
7223603444,7197965251,0,"LINESTRING (121.0337142944336 14.576449394226074, 121.03380584716797 14.57642650604248)",0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,5,13
237022134,25583898,0,"LINESTRING (121.03387451171875 14.576066970825195, 121.03389739990234 14.576411247253418)",0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1,2,0,1,2,4,1
