u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_sidewalk_ratio,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,SU_FROM_IMAGES_obstruction_density,MU_convenience,MU_traffic_volume,MU_traffic_speed,MU_attractiveness,MU_accident_risk,MU_safety_of_sidewalks,MU_safety_of_crossings,geometry
88776956,9837306160,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.575984954833984, 121.05006408691406 14.5759859085083)"
88776956,11988919330,0,-1.872747349112732,-1.872747349112732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3936288705725106,-0.1906964790542277,-1.0,0.0,-1.0,-0.2884219994859933,-1.2884219994859931,1.0,0.0,-0.1906964790542277,0.0,-0.3936288705725106,-1.0,"LINESTRING (121.05006408691406 14.575984954833984, 121.0500717163086 14.575989723205566)"
88776956,11988919331,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.575979232788086, 121.05006408691406 14.575984954833984)"
9837306160,5286755095,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.5759859085083, 121.04998779296875 14.576042175292969)"
9837306160,88776956,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.575984954833984, 121.05006408691406 14.5759859085083)"
11988919330,5286755100,0,-1.872747349112732,-1.872747349112732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3936288705725106,-0.1906964790542277,-1.0,0.0,-1.0,-0.2884219994859933,-1.2884219994859931,1.0,0.0,-0.1906964790542277,0.0,-0.3936288705725106,-1.0,"LINESTRING (121.0500717163086 14.575989723205566, 121.05011749267578 14.576050758361816)"
11988919330,88776956,0,-1.872747349112732,-1.872747349112732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3936288705725106,-0.1906964790542277,-1.0,0.0,-1.0,-0.2884219994859933,-1.2884219994859931,1.0,0.0,-0.1906964790542277,0.0,-0.3936288705725106,-1.0,"LINESTRING (121.05006408691406 14.575984954833984, 121.0500717163086 14.575989723205566)"
11988919331,88776956,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.575979232788086, 121.05006408691406 14.575984954833984)"
11988919331,5286755099,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05001068115234 14.575913429260254, 121.05006408691406 14.575979232788086)"
5286755095,5286755096,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.04998779296875 14.576042175292969, 121.0497817993164 14.576190948486328)"
5286755095,9837306160,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.05006408691406 14.5759859085083, 121.04998779296875 14.576042175292969)"
25583811,6533422566,0,-1.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03305053710938 14.576715469360352)"
25583811,476288515,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03316497802734 14.576760292053223)"
25583811,25584019,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03302001953125 14.576940536499023, 121.03313446044922 14.576793670654297)"
6533422566,7198248641,0,-3.315877027786037,-3.315877027786038,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5526315789473685,-0.0497489014438168,0.0,-0.5,-1.0,-0.2134965473948524,-2.213496547394852,0.0,0.5,-0.0497489014438168,0.0,-0.5526315789473685,-1.0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03205871582031 14.575725555419922)"
6533422566,6533422564,0,-5.892966089740893,-5.892966089740894,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4336925960637301,-0.1947061740639721,0.0,0.0,-1.0,-0.2645673196131912,-0.2645673196131912,-4.0,0.0,-0.1947061740639721,0.0,-0.4336925960637301,-1.0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03308868408203 14.576680183410645)"
6533422566,25583811,0,-1.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03305053710938 14.576715469360352)"
476288515,6533422569,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03316497802734 14.576760292053223, 121.033203125 14.576726913452148)"
476288515,6533422562,0,-3.0,-3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,"LINESTRING (121.03316497802734 14.576760292053223, 121.03319549560547 14.576793670654297)"
476288515,25583811,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03313446044922 14.576793670654297, 121.03316497802734 14.576760292053223)"
476288515,6533422564,0,-3.0,-3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03316497802734 14.576760292053223)"
25584019,25583811,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.03302001953125 14.576940536499023, 121.03313446044922 14.576793670654297)"
25584019,10900905230,0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"LINESTRING (121.032958984375 14.577051162719727, 121.03302001953125 14.576940536499023)"
7198248641,6533422566,0,-3.315877027786037,-3.315877027786038,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5526315789473685,-0.0497489014438168,0.0,-0.5,-1.0,-0.2134965473948524,-2.213496547394852,0.0,0.5,-0.0497489014438168,0.0,-0.5526315789473685,-1.0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03205871582031 14.575725555419922)"
6533422564,476288515,0,-3.0,-3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03316497802734 14.576760292053223)"
6533422564,6533422565,0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (121.03308868408203 14.576680183410645, 121.03312683105469 14.576642990112305)"
6533422564,6533422566,0,-5.892966089740893,-5.892966089740894,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4336925960637301,-0.1947061740639721,0.0,0.0,-1.0,-0.2645673196131912,-0.2645673196131912,-4.0,0.0,-0.1947061740639721,0.0,-0.4336925960637301,-1.0,"LINESTRING (121.03305053710938 14.576715469360352, 121.03308868408203 14.576680183410645)"
25583898,6369607704,0,-0.2969762450040305,-0.2969762450040304,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1808089276937754,-0.0738754840631515,0.0,-0.5,-1.0,-0.5422918332471035,-0.5422918332471035,0.0,0.5,-0.0738754840631515,0.0,0.8191910723062246,-1.0,"LINESTRING (121.03389739990234 14.576411247253418, 121.03397369384766 14.576408386230469)"
