has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,has_lit,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,1.0,0.0,0.5986238997276291,-1.3481048666009627,-3.2690610612656243,0.5842208519456176,1.0,1.0,alley,footway,,2,10148578463,10148578465,0
1.0,1.0,1.0,1.0,0.6099708767961427,-1.2482260424446352,-1.9081986535627784,0.5734381264018116,1.0,1.0,alley,footway,,4,10148578464,10148578465,0
1.0,1.0,1.0,0.0,0.5986238997276291,-1.3481048666009627,-3.2690610612656243,0.5842208519456176,1.0,1.0,alley,footway,,2,10148578465,10148578463,0
1.0,1.0,1.0,1.0,0.6099708767961427,-1.2482260424446352,-1.9081986535627784,0.5734381264018116,1.0,1.0,alley,footway,,4,10148578465,10148578464,0
0.0,1.0,1.0,1.0,0.6062529174168194,1.1292395983627952,-3.2226227451675067,0.6241151983586087,1.0,1.0,street,service,concrete,2,10821751973,10821751974,0
1.0,1.0,1.0,0.0,0.5760165488761329,0.17394699820160806,-2.3971624301147005,0.6649944948378035,1.0,0.0,street,secondary,asphalt,2,10821751973,6533297220,0
0.0,1.0,1.0,1.0,0.6062529174168194,1.1292395983627952,-3.2226227451675067,0.6241151983586087,1.0,1.0,street,service,concrete,2,10821751974,10821751973,0
0.0,1.0,1.0,0.0,0.5981824105546557,0.7630431162852719,-1.0813699054614743,0.5870537417157765,1.0,1.0,street,footway,concrete,0,10909607967,10909607969,0
1.0,1.0,1.0,0.0,0.596644253267454,0.7467415763485746,-2.081446597559816,0.5814074462686681,1.0,1.0,street,footway,,2,10909607967,8176038733,0
0.0,1.0,1.0,0.0,0.5981824105546557,0.7630431162852719,-1.0813699054614743,0.5870537417157765,1.0,1.0,street,footway,concrete,0,10909607969,10909607967,0
1.0,1.0,1.0,1.0,0.5749948033425403,1.3817020623133327,-2.709037137358793,0.638914105492419,1.0,1.0,street,footway,concrete,2,10909607969,10909607970,0
1.0,1.0,1.0,1.0,0.5749948033425403,1.3817020623133327,-2.709037137358793,0.638914105492419,1.0,1.0,street,footway,concrete,2,10909607970,10909607969,0
0.0,1.0,1.0,0.0,0.5017497885580675,-0.566278060515314,0.19362207387661348,0.6852676647644548,1.0,1.0,street,footway,,6,10909607972,10909607975,0
1.0,1.0,0.0,0.0,0.5969260187178773,-0.14488053644708854,0.05084559024756034,0.6090487081224151,1.0,0.0,street,residential,concrete,0,10909607972,1381226690,0
1.0,1.0,1.0,1.0,0.5739146592171087,0.7309668011769546,0.19362207387661348,0.681654847733604,1.0,1.0,street,footway,concrete,0,10909607973,10909607980,0
