uuid,adm4_pcode,date,freq,atm_count,atm_nearest,bank_count,bank_nearest,college_count,college_nearest,community_centre_count,community_centre_nearest,convenience_count,convenience_nearest,fire_station_count,fire_station_nearest,kindergarten_count,kindergarten_nearest,lighthouse_count,lighthouse_nearest,market_place_count,market_place_nearest,park_count,park_nearest,police_count,police_nearest,school_count,school_nearest,shelter_count,shelter_nearest,supermarket_count,supermarket_nearest,telephone_count,telephone_nearest,town_hall_count,town_hall_nearest,university_count,university_nearest,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,brgy_total_area
OSMPA00007F,PH137401027,2018-01-01,Y,2.0,0.0,26.0,0.0,0.0,34.216965556113486,0.0,274.62913753746443,8.0,0.0,0.0,1858.0251239080487,0.0,381.5996855373769,0.0,10000.0,0.0,10000.0,0.0,1223.756955926012,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,10000.0,0.0,286.7925853194299,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Wack-wack Greenhills,2.8749
OSMPA000080,PH137401009,2018-01-01,Y,1.0,0.0,3.0,0.0,0.0,619.062522763843,3.0,0.0,2.0,0.0,0.0,283.2629032996346,0.0,908.0745840711432,0.0,10000.0,0.0,10000.0,0.0,3160.626370532163,0.0,130.12253075355716,1.0,0.0,0.0,1890.0114990653728,0.0,781.1088676839177,0.0,10000.0,0.0,1840.9546612929028,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Daang Bakal,0.1731
OSMPA000081,PH137401023,2018-01-01,Y,0.0,29.68997645811316,0.0,16.003944951759976,0.0,112.07356811126706,0.0,239.0807475949934,1.0,0.0,0.0,1303.0650617257645,0.0,26.473079439502907,0.0,10000.0,0.0,10000.0,0.0,1827.0733773575053,0.0,830.7705862823286,0.0,17.939042623271714,0.0,1366.9654526861302,0.0,66.16216652153982,0.0,10000.0,0.0,689.4145550535329,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Pleasant Hills,0.207
OSMPA000082,PH137401004,2018-01-01,Y,0.0,378.7957196581978,0.0,290.1825525731545,0.0,529.922185465351,0.0,1201.0569928862355,0.0,70.19136746855554,0.0,888.1621502603664,0.0,1791.7310891565571,0.0,10000.0,0.0,10000.0,0.0,881.2718199876218,0.0,376.35513515980887,0.0,33.14398373112542,0.0,239.1475849094247,0.0,232.58351569575024,0.0,10000.0,0.0,475.1544884054176,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Ibaba,0.1599
OSMPA000083,PH137401005,2018-01-01,Y,1.0,0.0,4.0,0.0,0.0,492.6102263168648,0.0,59.8351395437942,9.0,0.0,0.0,1253.6295646289482,0.0,1691.043183947623,0.0,10000.0,0.0,10000.0,1.0,0.0,0.0,316.0150579700951,2.0,0.0,0.0,994.309736168226,1.0,0.0,0.0,10000.0,0.0,328.98946595534,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Ilaya,0.4823
OSMPA000084,PH137401021,2018-01-01,Y,0.0,277.60660303309066,0.0,14.047158967268516,0.0,56.61480455321097,0.0,184.61461735666904,2.0,0.0,1.0,0.0,0.0,1234.6180750593735,0.0,10000.0,0.0,10000.0,0.0,3239.4250408395246,2.0,0.0,0.0,62.327449667743934,0.0,1515.8589052012303,0.0,380.64608831002295,0.0,10000.0,0.0,1841.4103246169884,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Pag-asa,0.1225
OSMPA000104,PH137401003,2018-01-01,Y,0.0,155.47820976058688,0.0,111.61229833952878,0.0,367.4532714720967,0.0,1147.2595841123657,1.0,0.0,0.0,510.6404626164152,0.0,1563.269226784151,0.0,10000.0,0.0,10000.0,0.0,998.0831626451776,0.0,249.1788736776635,4.0,0.0,0.0,68.60164297692265,0.0,25.161096936808804,0.0,10000.0,0.0,252.9786302014336,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Drive,0.2129
OSMPA000105,PH137401016,2018-01-01,Y,0.0,270.59650344642984,3.0,0.0,0.0,7.201680794413596,0.0,325.4822376470206,2.0,0.0,0.0,865.1722245978888,0.0,1201.3989196682537,0.0,10000.0,0.0,10000.0,0.0,291.5088927551111,0.0,640.3033793946108,0.0,123.44892253412814,0.0,798.4515342770366,0.0,40.19431895409095,0.0,10000.0,0.0,365.05215274658457,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Malamig,0.3146
OSMPA000106,PH137401011,2018-01-01,Y,4.0,0.0,4.0,0.0,0.0,986.8961823615516,0.0,265.40902834850164,0.0,81.76266977478781,0.0,819.5368021304141,0.0,287.07660662940856,0.0,10000.0,0.0,10000.0,0.0,2380.8481916273754,0.0,572.8464099569202,0.0,191.8808003758808,0.0,1543.0507893031618,0.0,57.24964514087144,0.0,10000.0,0.0,1209.9273622289925,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Hagdang Bato Libis,0.1446
OSMPA000107,PH137401001,2018-01-01,Y,3.0,0.0,8.0,0.0,0.0,112.08677100865938,1.0,0.0,3.0,0.0,0.0,371.2490792201767,2.0,0.0,0.0,10000.0,0.0,10000.0,0.0,1600.818031968303,0.0,277.48844312793705,13.0,0.0,0.0,976.761725568604,1.0,0.0,0.0,10000.0,0.0,279.73638258644644,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Addition Hills,1.167
OSMPA000108,PH137401008,2018-01-01,Y,0.0,64.67523519998991,2.0,0.0,0.0,1076.202960133251,0.0,184.25719548189065,1.0,0.0,0.0,2022.0634575921133,0.0,2058.7484804199325,0.0,10000.0,0.0,10000.0,0.0,119.4860549238708,0.0,532.2857354196838,0.0,605.1999148994128,0.0,1226.1328913837642,0.0,243.39474049946108,0.0,10000.0,0.0,544.951665395855,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Buayang Bato,0.0827
OSMPA000109,PH137401013,2018-01-01,Y,2.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1410.9868264020536,0.0,444.72262008218735,0.0,10000.0,0.0,10000.0,0.0,291.944715419572,1.0,0.0,10.0,0.0,0.0,406.71539618200654,2.0,0.0,0.0,10000.0,2.0,0.0,0.0,10000.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Highway Hills,1.1577
