uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,brgy_total_area
PNHZD00025F,PH137401027,2015-01-01,S,11.7906,10.8024,5.1364,10.4482,9.4286,3.5648,8.6066,6.7053,2.3419,0.0104,0.0,0.0383,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Wack-wack Greenhills,2.8749
PNHZD000260,PH137401009,2015-01-01,S,10.7542,51.4569,22.7205,17.14,46.0229,13.2453,26.7528,26.0944,9.6398,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Daang Bakal,0.1731
PNHZD000261,PH137401023,2015-01-01,S,9.3578,3.9903,0.0,9.0872,2.6031,0.0,7.7212,1.3354,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Pleasant Hills,0.207
PNHZD000262,PH137401004,2015-01-01,S,16.9983,3.8559,4.8425,14.0819,2.1609,4.3082,10.7362,1.1654,3.46,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Ibaba,0.1599
PNHZD000263,PH137401005,2015-01-01,S,5.8602,4.8241,5.3586,4.8027,4.0929,4.8606,3.6154,3.1798,4.2248,0.1659,0.2012,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Ilaya,0.4823
PNHZD000264,PH137401021,2015-01-01,S,3.8696,22.2821,41.7676,7.6357,36.9295,18.5973,15.8617,24.8954,2.7841,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Pag-asa,0.1225
PNHZD000265,PH137401003,2015-01-01,S,17.464,4.6133,0.0,16.6496,2.4926,0.0,14.0231,0.5638,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Drive,0.2129
PNHZD000266,PH137401016,2015-01-01,S,17.2447,2.9145,0.0,13.8626,2.1837,0.0,9.9659,0.8611,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Malamig,0.3146
PNHZD000267,PH137401011,2015-01-01,S,7.6407,25.9043,3.9522,7.892,23.7311,3.358,10.1407,20.3533,1.1521,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Hagdang Bato Libis,0.1446
PNHZD000268,PH137401001,2015-01-01,S,9.7845,7.3549,3.6101,9.0103,6.2038,2.8676,7.6304,4.857,2.0022,0.127,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Addition Hills,1.167
PNHZD000269,PH137401008,2015-01-01,S,12.092,13.99,17.3644,11.4818,11.184,16.5742,11.4767,8.1168,15.0817,1.5725,2.0921,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Buayang Bato,0.0827
PNHZD00026A,PH137401013,2015-01-01,S,8.6574,3.8381,1.61,7.5069,3.196,1.3085,5.7687,2.4247,0.9324,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Highway Hills,1.1577
