u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_bicycle,SU_CYCLEWAY_CLASS,SU_CYCLEWAY_LANE_TYPE,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_cycling_lane_coverage,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_has_bicycle,SU_FROM_IMAGES_road_condition,MU_DISMOUNT,MU_convenience,MU_attractiveness,MU_traffic_safety,MU_security,MU_accident_risk,MU_traffic_volume,MU_safety_of_sidewalks_and_crossings
321734921,26365570,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
321734921,8594662788,0,-3.4245283018867925,-3.4245283018867925,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7169811320754715,0.0,-0.7075471698113207,0.0
321734921,6320023164,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
26365570,321734921,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
8594662788,5429550720,0,-3.4245283018867925,-3.4245283018867925,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7169811320754715,0.0,-0.7075471698113207,0.0
8594662788,321734921,0,-3.4245283018867925,-3.4245283018867925,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7169811320754715,0.0,-0.7075471698113207,0.0
6320023164,321734921,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
6320023164,8574313982,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583974,1467951842,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25583974,1467951818,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583974,25583984,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
1467951842,11989063260,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951842,25583974,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951818,1467951846,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951818,8708844640,0,-15.81132075471698,-15.81132075471698,-3.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-4.09433962264151,-2.7169811320754715,0.0,0.0,0.0
1467951818,25583974,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583984,25583974,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583984,1467951827,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25583984,1467951848,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
11989063260,1467951878,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11989063260,1467951842,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
