adm4_en,average_tradeoff_rate,average_circuity,average_relative_discomfort,adm4_pcode
Addition Hills,0.1425338945593534,1.7994557064369328,0.5555142420041204,PH137401001
Mabini-J. Rizal,,1.4046420495134893,0.6492253058906993,PH137401015
Vergara,0.6257618936139118,3.17926262562238,0.4876669552442474,PH137401026
San Jose,0.28826515916702616,1.1246237355644573,0.5708955385775342,PH137401025
Poblacion,0.24376970053586966,1.8109901950716594,0.6343592678448099,PH137401024
Pleasant Hills,29.460588057330437,1.5022091451754467,0.5611221993359174,PH137401023
Plainview,0.11480265173902603,1.6544228577459452,0.47155317929066787,PH137401022
Pag-asa,0.5384663907786501,1.5407364611172754,0.6070110784589846,PH137401021
Old Zañiga,0.5152284789366243,1.4545778027097922,0.4927455391262964,PH137401020
New Zañiga,0.9701561217466504,1.6426075185891937,0.5149611712087172,PH137401019
Namayan,0.21801221528502143,1.5598569780088458,0.6505425777757847,PH137401018
Mauway,0.021728905745290475,1.4430993501516185,0.5448742771521605,PH137401017
Malamig,0.2038054729783337,1.8365607741134289,0.4933628265479798,PH137401016
Hulo,0.3495221509246651,1.8779853913830438,0.48183408435454284,PH137401014
Bagong Silang,0.44091586803646843,1.5322799695977476,0.594514233154224,PH137401002
Highway Hills,0.10425193806861766,1.6757482608889158,0.4383304395548187,PH137401013
Harapin Ang Bukas,0.6774414273431321,1.7841924888986387,0.4926741977640203,PH137401012
Hagdang Bato Libis,0.6589177327706217,1.6327044956437078,0.5081483970929537,PH137401011
Hagdang Bato Itaas,0.1699288638813595,2.0022543256623977,0.43354193173836986,PH137401010
Daang Bakal,0.5640240634370195,1.4674011180031798,0.5147881103676537,PH137401009
Burol,,1.3708925419404074,0.5798412871008686,PH137401007
Buayang Bato,0.05880285073008166,1.2569300208316179,0.6860491354764375,PH137401008
Barangka Itaas,0.426550581997607,2.0190085374969944,0.5904737846537458,PH137401006
Barangka Ilaya,1.3809897425251219,2.279712798721812,0.49412069587699115,PH137401005
Barangka Ibaba,,1.2959397053620314,0.6384590225228154,PH137401004
Barangka Drive,0.30862444089311447,1.4548776757399464,0.4567604882000668,PH137401003
Wack-wack Greenhills,0.14242821225172722,1.7164797395841505,0.4837534415191635,PH137401027
