u,v,key,sidewalk_description,has_left_sidewalk_status,has_right_sidewalk_status,is_crossing_status,bicycle_status,cycleway_lane_type,cycleway_description,cycleway_left_lane_type,cycleway_right_lane_type,cycleway_class,cycleway_left_class,cycleway_right_class,parking_left_description,parking_right_description,width_comp,lit_comp,maxspeed_comp,segregated_comp,crossing_tag_comp,edsa_accident_comp,motor_vehicle_comp
12067600,5286256991,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067600,8659087179,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067604,88771457,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067604,5286256988,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067613,1981388318,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,1,0,0,0,0
12067613,8595216694,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067619,1276924654,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,1,0,0,1,0
12067619,6970838871,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,0,0,0,0,0,0
12067619,11662034353,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,1,0,0,0,0
12067627,5289211747,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067627,5289211749,0,no_sidewalk,False,False,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
12067627,8242414108,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
21717860,5821667607,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
21717860,6536470709,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
21717864,6322310372,0,has_sidewalk,True,True,False,yes,lane,both,lane,lane,class 3,class 3,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
21717864,6773345499,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
21717864,6773380089,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
21717864,11999874635,0,has_sidewalk,True,True,False,yes,lane,yes,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,class 3,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,unknown,unknown,0.0,-1,1,0,0,0,0
